affID	sortedName	fieldID	fieldName	bf_avejif	bf_avecitation	bf_avehindex	bf_avepapercnt	af_avejif	af_avecitation	af_avehindex	af_avepapercnt
157773358	shuai xintao	185592680	chemistry	3.413337685499576	56.4	4.4	5.2	4.6626580309900065	441.2	23.6	10.2
157773358	wang xuemei	127313418	geology	0.0	77.2	7.0	6.4	0.0	274.6	19.2	7.2
157773358	wu zhongkai	71924100	medicine	1.7824684201125358	23.0	3.4	3.6	1.3954637990836922	43.0	11.0	1.6
157773358	xiaopei yan	162324750	economics	0.013195402298850573	1.2	0.6	1.4	0.0347985347985348	1.0	1.0	4.0
158842170	fusheng pan	185592680	chemistry	0.33940390863383907	2.8	1.6	6.6	1.07153819334248	128.8	7.2	41.8
158842170	jian li	185592680	chemistry	0.0	80.8	7.0	20.4	0.0	173.0	17.6	14.6
158842170	xun zhu	185592680	chemistry	2.449839451522839	89.8	7.6	14.2	3.0483123014163453	345.6	20.8	28.4
158842170	yongxing zhang	121332964	physics	0.10781412877511558	1.0	0.4	4.6	0.5148547968863352	7.0	2.4	6.8
158842170	zhang zongyi	144133560	business	0.18341346153846155	0.4	0.4	1.0	0.2550632911392405	15.8	4.0	6.8
159948400	baiou guan	121332964	physics	0.9304675310073527	40.4	7.0	6.8	2.5436188651807994	244.0	16.8	47.2
162868743	chunfeng wang	144133560	business	0.16279809220985691	0.6	1.0	0.2	0.0	6.2	2.0	6.2
162868743	denghua zhong	127413603	engineering	0.0	0.0	0.0	2.0	0.335491581781314	5.2	1.6	4.2
162868743	feng wei	185592680	chemistry	0.0	175.6	11.6	16.0	0.0	318.2	26.4	15.4
162868743	he zhen	127413603	engineering	0.5709114350025736	12.2	2.6	12.8	0.6839100907570713	50.4	8.2	4.4
162868743	jiang zhongyi	185592680	chemistry	2.2448559704162645	230.0	10.4	27.0	5.2858027921871145	1327.8	37.8	41.2
162868743	junan ma	185592680	chemistry	2.255563488948405	115.6	7.0	8.6	3.0331112362438715	481.6	21.0	16.6
162868743	li yali	185592680	chemistry	0.20524521199067633	1.0	1.0	1.0	2.2614900449185225	25.6	4.0	4.6
162868743	liu wenguang	185592680	chemistry	3.8515779008125826	113.4	10.2	6.4	4.404807799206145	481.6	28.4	10.2
162868743	liu yongchang	185592680	chemistry	1.5116131712546999	98.4	7.8	16.0	1.6720831247044683	211.0	17.2	28.2
162868743	yingjin yuan	185592680	chemistry	0.7761753489148987	6.8	2.0	6.6	1.7430418319291676	121.4	11.0	15.2
163340411	chen wen	121332964	physics	0.5878646916147492	16.8	1.8	6.8	1.6482211329283456	329.6	15.6	27.8
163340411	hongwu tang	127313418	geology	0.5816341289381084	3.0	1.6	3.4	1.1670280498114116	27.6	5.8	6.8
163340411	jinhai zheng	127313418	geology	0.0	25.6	3.6	10.8	0.0	62.0	10.0	12.0
163340411	ju ping	127413603	engineering	0.14017857142857143	10.4	4.0	1.8	1.3681770010867491	55.2	8.0	7.6
16609230	guilin wen	127413603	engineering	1.4550132207806372	10.8	2.2	3.8	1.9439672320127983	92.0	9.4	8.4
16609230	he yan	185592680	chemistry	0.0	60.2	7.4	4.8	0.0	227.2	21.2	5.4
16609230	he yigang	127413603	engineering	0.2826072142828132	8.2	3.2	12.2	0.5975375128408084	89.4	9.8	10.4
16609230	jiang jianhui	185592680	chemistry	2.364569496943466	268.8	13.8	26.2	4.20366630999785	1075.8	36.0	22.4
16609230	shuangchun wen	121332964	physics	1.3626925006199706	51.6	4.2	38.8	2.0172250874722506	439.4	17.0	27.2
16609230	xiaobing zhang	185592680	chemistry	3.892631702347934	211.6	14.6	10.6	4.696677378230567	996.6	39.0	21.2
170215575	dou yong	41008148	computer science	0.2790097171948457	10.2	2.2	10.0	0.9316913589340554	61.8	7.0	16.6
170215575	jianmin yuan	121332964	physics	0.19995905217914073	0.4	2.0	0.6	0.694435121797121	5.8	2.4	6.2
170215575	zhaowen zhuang	127413603	engineering	0.0	0.2	1.0	2.0	0.0606861191640801	2.0	1.0	8.8
17145004	chen jingdong	127413603	engineering	0.0	113.0	10.6	7.6	0.0	89.4	16.2	11.0
17145004	hejun li	185592680	chemistry	0.6652773012089883	2.2	0.6	2.6	1.1386757786944375	57.8	6.2	18.2
17145004	xiaopeng zhao	121332964	physics	0.10933633295838022	0.4	2.0	0.6	0.9158148266217292	23.0	4.2	11.0
173759888	kuang leman	121332964	physics	0.2822269247550625	5.2	1.4	4.2	0.418848120566414	19.0	5.2	8.8
173759888	liu shaojun	86803240	biology	1.1035585570659243	13.8	3.6	4.4	1.6056498695461756	53.2	8.6	9.6
173899330	chunpeng song	185592680	chemistry	1.1551307847082495	1.6	0.6	1.2	3.080964445690178	53.8	5.4	4.2
177933477	an huazhang	71924100	medicine	5.619693020652503	78.4	5.8	4.2	3.550540244584588	245.4	16.8	1.6
177933477	cao guangwen	71924100	medicine	1.3989726046341648	27.4	10.2	10.2	3.252234585125373	356.4	19.8	19.6
177933477	chen wansheng	185592680	chemistry	1.6354812781901606	119.6	10.0	14.4	1.638580372801173	291.4	23.6	16.4
177933477	jiang yuanying	185592680	chemistry	1.4565432021930254	19.8	3.2	8.2	1.8443135425395927	116.4	12.2	15.8
177933477	liu shanrong	71924100	medicine	0.0	46.4	6.4	2.4	0.0	55.4	10.4	1.8
177933477	pan weiqing	71924100	medicine	0.0	0.0	0.0	0.0	0.6160061364740936	22.0	1.8	1.2
177933477	qian qijun	71924100	medicine	2.4091475820007124	20.4	3.8	5.0	1.921561685067195	52.2	8.0	8.4
