fxID	minYear	assumeAwardYear
93186	1998	2012
90013	2004	2009
71531	1999	2006
38344	2000	2005
29706	2004	2010
44897	2006	2012
18559	2001	2010
25680	1994	2012
29332	1996	2003
100475	1993	2009
94155	2003	2009
35950	2004	2009
46602	2001	2008
100509	1990	2009
98852	2003	2009
55400	1988	2000
51793	1997	2004
84511	2007	2012
97105	1994	2008
87749	1999	2011
65639	2006	2011
50662	2005	2011
93840	1980	2003
55092	1990	2003
54740	1995	2003
95593	1990	2012
4650	2000	2007
29626	2002	2008
83104	1998	2004
44417	1989	2002
1945	2004	2011
20191	2000	2010
56986	2002	2007
5633	1994	2002
65079	1994	2012
101230	1996	2003
66705	1991	2009
23108	1989	2001
46109	2003	2009
39229	1991	2006
51342	1991	2007
13332	2006	2012
15726	1988	2001
59017	1994	2006
20738	2006	2012
96276	1987	2001
2062	1992	2006
44593	2006	2011
10965	1996	2006
31976	2000	2006
93026	2006	2011
54384	1996	2007
1447	2006	2012
65747	2002	2010
74773	1994	2012
31258	2001	2012
7172	2007	2012
18060	2006	2012
95745	1990	1999
90861	2000	2005
55325	1990	2001
95344	2003	2009
86085	2007	2012
95367	1982	2002
48111	2000	2005
40903	2002	2009
54538	2006	2012
46114	1996	2010
42053	1993	2010
14149	2005	2010
40920	2002	2011
28519	2006	2012
72109	2007	2012
74611	2005	2010
55091	2006	2011
59963	2000	2009
77930	2006	2011
37742	1992	2006
85044	1988	2001
80456	2006	2011
58772	2001	2008
59590	1993	2001
35315	1995	2008
74756	1987	2011
91524	2005	2011
79303	2000	2012
24725	1986	2003
23851	1997	2007
32943	1992	2003
74848	2005	2012
35410	1996	2009
12404	2005	2011
82686	1997	2002
5164	2000	2011
68730	1999	2005
3527	2007	2012
15644	2001	2006
34194	2001	2011
8318	2003	2010
93619	1992	2005
52092	1997	2002
69955	1996	2001
46934	2006	2011
73275	2005	2012
78674	2002	2010
4906	2007	2012
53406	1989	2007
24017	2004	2011
79060	1998	2006
47397	2005	2011
36801	2007	2012
51	1990	2009
26142	2003	2010
93794	1993	2001
5769	1994	2011
31078	1996	2004
