affID	sortedName	awardYear	fieldID	fieldName	bf_avejif	bf_avecitation	bf_avehindex	bf_avepapercnt	af_avejif	af_avecitation	af_avehindex	af_avepapercnt
19820366	wang yilin	2010	185592680	chemistry	1.9422049135781208	63.4	6.4	10.2	3.512543061176167	458.4	23.0	20.6
19820366	liang xinmiao	2008	185592680	chemistry	0.0	0.4	1.0	0.4	1.1381416504223525	5.4	2.4	0.4
19820366	fajun nan	2007	185592680	chemistry	1.8560933461622584	11.2	2.2	6.6	3.123189444697044	139.2	12.0	10.2
19820366	juan lin	2006	185592680	chemistry	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19820366	dai yuhong	2011	33923547	mathematics	0.6974873075361089	130.2	12.6	2.8	1.4417697735136508	291.6	21.0	6.6
25757504	jianyong qiao	2006	33923547	mathematics	0.3193684591488977	1.2	0.8	0.8	0.3371361150778437	3.6	2.2	1.2
99065089	wenming zou	2010	33923547	mathematics	0.7382719201066641	34.6	6.0	3.2	0.9476635510252542	167.4	13.6	7.4
19820366	li xiaofan	2000	33923547	mathematics	0.0	0.0	0.0	0.0	0.4383715012722648	0.2	0.4	0.6
99065089	baoding liu	2004	33923547	mathematics	0.4550732240345269	47.8	5.0	10.0	0.7338479240032563	415.4	19.0	7.0
881766915	sun zhiwei	2004	33923547	mathematics	0.1900224315743777	13.4	4.6	5.2	0.4978971861906264	73.4	10.0	11.8
24185976	liangang peng	2003	33923547	mathematics	0.3131706717774829	5.4	2.8	0.6	0.0	8.4	4.0	0.0
66867065	hebing rui	2010	33923547	mathematics	0.4337057176523984	14.4	4.2	1.8	0.4888303936348656	29.4	8.6	1.4
19820366	bai zhongzhi	2005	33923547	mathematics	0.3814076029155318	21.4	5.4	4.0	0.8102597806025624	143.8	11.0	6.4
183067930	dongmei xiao	2009	33923547	mathematics	1.1603564642567659	20.0	3.2	4.0	1.211770235267425	89.0	10.4	3.2
19820366	fuzhou gong	2002	33923547	mathematics	0.26162921138847955	1.2	0.4	0.8	0.3894543191579541	9.4	3.6	0.6
20231570	chen dayue	2006	33923547	mathematics	0.0	0.6	3.0	0.2	0.42503460971040347	3.2	3.0	1.2
40963666	peng shuangjie	2011	33923547	mathematics	0.7428367514176297	10.2	3.4	4.4	1.2558761433001575	62.4	9.4	4.2
19820366	hongbo li	2009	33923547	mathematics	1.25430675813006	20.8	4.0	7.6	2.7034766497467784	108.8	12.0	10.4
19820366	cui guizhen	2011	33923547	mathematics	0.2032558604265288	2.4	1.4	0.6	0.4837292801842663	12.2	3.6	1.2
20231570	liu peidong	2001	33923547	mathematics	0.04225352112676056	0.4	1.0	0.8	0.35417582417582416	2.6	2.4	0.8
157773358	guo xianping	2009	33923547	mathematics	0.6972496040732566	25.4	5.0	4.6	1.056948286110014	66.6	11.6	6.4
20231570	gan shaobo	2010	33923547	mathematics	0.7020276372870601	9.0	3.4	1.8	0.3188573789215329	32.6	8.2	1.0
157773358	lixin yan	2009	33923547	mathematics	0.5477888345410087	4.8	2.4	3.0	0.9831000253573456	58.8	8.0	3.0
126520041	chen falai	2002	33923547	mathematics	0.3700529654281491	7.2	2.2	3.2	0.5787891455921716	37.0	5.8	5.6
20231570	li weigu	2005	33923547	mathematics	0.5132394213828655	7.0	1.8	2.6	0.5734428695910326	20.6	6.8	2.0
126520041	su yucai	2008	33923547	mathematics	0.4568689434365347	4.6	1.8	3.0	0.6398811750152991	47.4	7.0	3.8
19820366	yushen zhang	1994	33923547	mathematics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19820366	sun xiaotao	2000	33923547	mathematics	0.056951423785594625	0.2	0.2	0.4	0.31615704215701484	5.4	2.2	1.4
19820366	aihui zhou	2004	33923547	mathematics	0.5026381177890328	4.2	2.0	3.4	0.8576709715309091	23.2	4.6	7.0
37461747	chen hua	2000	33923547	mathematics	0.221112003522532	2.0	1.0	1.2	0.3362133221493037	5.4	2.6	4.8
19820366	pengfei yao	2002	33923547	mathematics	0.4025770417655332	3.8	1.4	1.4	0.4576703149728386	14.6	4.0	1.8
24185976	weinian zhang	2008	33923547	mathematics	0.6164535681926168	22.6	4.0	8.6	1.193617917029373	113.2	11.4	9.6
99065089	tong zhou	2006	33923547	mathematics	0.7451153249675538	7.4	3.0	2.6	1.4991706502238136	15.6	5.6	4.8
20231570	huang ruji	2006	33923547	mathematics	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0
99065089	meirong zhang	2003	33923547	mathematics	0.4790246238972483	7.2	2.4	2.2	0.5813419280869774	48.6	8.6	3.6
99065089	junhai yong	2006	33923547	mathematics	0.4793473355148958	5.8	2.2	4.4	0.9996134467220286	56.4	7.4	11.2
3923682	cao yongluo	2011	33923547	mathematics	0.7734001293494253	10.0	3.6	1.8	0.6801504582755044	20.8	6.4	1.4
157773358	hu jianxun	2008	33923547	mathematics	0.14597557771971026	3.0	1.4	0.6	0.3513276598853136	9.0	3.6	0.4
