fxID	minYear	maxYear
3802	1986	2017
3804	1987	2018
3815	1990	2018
3824	2000	2018
3853	2006	2017
3854	2000	2018
3855	1995	2018
3857	1997	2018
3872	2007	2018
3873	2004	2015
3875	2006	2018
3878	1984	2018
3879	1998	2017
3882	1991	2008
3884	2006	2017
3887	2005	2016
3903	2007	2018
3907	2005	2018
3923	1996	2018
3933	2004	2017
3935	1986	2016
3941	2005	2017
3942	2007	2018
3943	1991	2018
3950	2005	2017
3951	1994	2018
3952	1985	2018
3957	1981	2018
3979	2002	2017
3980	1997	2017
3984	1997	2018
3995	1981	2018
4010	1996	2018
4015	2005	2018
4016	2006	2016
4019	1993	2007
4025	1987	2018
4028	2007	2018
4035	1997	2010
4048	2006	2017
4051	2006	2017
4052	2000	2010
4058	1998	2018
4059	2007	2018
4063	2005	2017
4066	2007	2018
4069	1985	2018
4073	2001	2015
4074	1994	2018
4078	2006	2017
4087	2006	2018
4102	1991	2012
4104	1997	2016
4105	2007	2017
4119	1999	2017
4138	2002	2017
4139	2007	2017
4147	2007	2017
4157	2004	2018
4158	1983	2017
4161	2001	2013
4174	1989	2018
4176	2000	2017
4180	2003	2018
4184	2005	2017
4194	1999	2017
4202	2000	2017
4214	2003	2017
4216	2006	2018
4227	2006	2017
4229	1980	2018
4232	2005	2017
4248	2007	2018
4256	2005	2017
4260	2002	2017
4270	1990	2015
4272	1998	2017
4286	2001	2018
4291	1991	2018
4293	2005	2018
4314	2006	2016
4318	1990	2018
4322	1997	2018
4324	1981	2017
4326	2007	2017
4334	1993	2004
4347	2004	2016
4355	2004	2017
4360	1999	2018
4369	1994	2017
4374	1983	2010
4384	2003	2017
4386	1987	2018
4387	2004	2018
4400	1998	2018
4403	2004	2017
4411	2007	2017
4414	1998	2018
4420	2004	2018
4423	2007	2017
4424	2005	2017
4425	1994	2018
4426	2000	2018
4429	2006	2018
4433	2004	2017
4438	2000	2018
4443	2007	2017
4452	2005	2018
4458	2002	2017
4459	2002	2018
4470	1994	2018
4471	2003	2017
4472	2007	2018
4508	2004	2018
4510	2005	2017
4511	2006	2017
4512	1999	2018
4527	2003	2018
4531	2005	2018
4535	1990	2018
4544	1990	2018
4555	2004	2017
4563	2001	2015
4568	2007	2017
4580	2006	2018
4583	2002	2018
4585	2007	2017
4593	2004	2017
4602	2007	2017
4604	1994	2014
4611	2006	2018
4617	2007	2018
4619	2007	2017
4623	1996	2017
4627	2000	2017
4630	2007	2018
4631	2001	2018
4636	2005	2015
4641	2006	2018
4646	2005	2017
4649	2002	2018
4650	2000	2018
4654	2001	2016
4666	2002	2017
4669	2007	2018
4672	2005	2017
4681	2007	2017
4683	2006	2017
4695	1998	2018
4707	2006	2018
4726	2003	2018
4734	2004	2017
4735	1999	2018
4740	1997	2016
4751	1996	2017
4754	1995	2016
4755	1997	2017
4773	2001	2017
4776	1990	2018
4783	1997	2018
4789	1999	2016
4794	1995	2017
4796	1992	2017
4805	1995	2018
4816	2003	2018
4819	1998	2017
4825	2000	2018
4832	2001	2016
4833	1999	2010
4839	2006	2016
4849	2000	2015
4855	1992	2018
4857	1997	2015
4866	1991	2010
4893	2005	2018
4895	1996	2018
4898	2004	2014
4906	2007	2018
4908	2006	2016
4909	1997	2017
4917	1996	2010
4919	2001	2018
4920	2007	2018
4923	1986	2010
4929	2005	2016
4948	1998	2018
4950	2003	2018
4954	1987	2017
4973	2002	2014
4982	1997	2010
4992	2007	2018
5005	1996	2017
5008	2007	2017
5015	2007	2018
5017	2003	2018
5026	2002	2018
5034	2007	2018
5039	2001	2018
5051	2007	2017
5056	2007	2017
5066	2002	2017
5071	2002	2017
5072	2005	2017
5076	2001	2016
5081	2003	2017
5083	2002	2015
5087	2005	2018
5101	1987	2018
5102	2000	2018
5103	2001	2013
5109	1997	2017
5111	2006	2016
5117	2007	2017
5123	2007	2018
5124	1998	2018
5130	2007	2017
5140	2006	2018
5159	2000	2018
5164	2000	2015
5176	2007	2018
5182	1993	2017
5183	1999	2017
5194	1999	2009
5201	2004	2017
5204	2004	2014
5210	2005	2017
5226	2000	2016
5233	1998	2017
5238	1999	2017
5239	2004	2018
5243	2002	2017
5244	1997	2013
5247	1991	2017
5251	2005	2016
5255	2003	2017
5259	1998	2018
5262	1995	2017
5264	2004	2017
5265	2006	2017
5288	2003	2018
5294	2000	2018
5304	2007	2018
5319	2000	2017
5320	2001	2018
5328	2005	2017
5339	1992	2018
5365	2005	2018
5367	2004	2016
5369	1996	2008
5374	2006	2018
5380	1993	2018
5388	1994	2012
5399	2001	2017
5401	2000	2018
5406	2000	2010
5409	2003	2018
5415	1998	2017
5424	2003	2016
5429	2000	2017
5442	1988	2017
5450	2002	2016
5454	1990	2009
5459	2007	2018
5463	2002	2017
5466	2001	2018
5484	2000	2017
5488	1999	2018
5490	2006	2017
5491	2003	2018
5494	1997	2018
5495	1999	2017
5499	2005	2017
5500	2003	2018
5503	1999	2018
5507	2006	2018
5508	2004	2018
5528	1996	2018
5536	1990	2017
5539	1994	2006
5542	2006	2017
5550	1982	2016
5557	2004	2017
5559	1997	2014
5562	2005	2017
5569	2005	2018
5573	2007	2018
5575	1990	2014
5577	2001	2017
5578	2003	2018
5586	1991	2017
5587	1996	2018
5592	2004	2016
5602	1993	2017
5607	1994	2018
5615	2001	2017
5616	1995	2018
5625	1999	2018
5633	1994	2017
5638	1989	2010
5642	2007	2018
5643	2006	2017
5644	2007	2017
5645	2005	2018
5649	2006	2018
5667	2006	2017
5668	2005	2018
5669	1988	2018
5670	2004	2014
5677	1994	2017
5692	2004	2018
5703	1997	2016
5704	1983	2018
5705	2001	2015
5718	1997	2010
5726	2003	2015
5730	2003	2017
5734	1998	2016
5744	2007	2017
5745	2006	2018
5761	2003	2017
5764	2003	2018
5768	2002	2018
5769	1994	2016
5773	1995	2017
5776	1989	2009
5782	1994	2018
5783	2006	2017
5786	2007	2017
5791	2004	2017
5796	2000	2017
5807	2003	2018
5817	2001	2013
5827	1997	2012
5828	2003	2017
5840	2007	2018
5842	2005	2017
5844	2001	2017
5848	2007	2018
5856	2007	2018
5867	2003	2018
5869	2002	2017
5877	1986	2012
5882	1988	2018
5883	2006	2018
5884	1999	2015
5891	2003	2013
5906	2006	2018
5911	2007	2018
5914	1997	2017
5929	2006	2016
5952	2007	2018
5954	2007	2018
5955	2007	2017
5967	2004	2017
5988	1990	2015
5990	2007	2017
5991	2004	2018
6003	2005	2017
6004	2002	2018
6007	1998	2015
6012	2007	2017
6019	2007	2017
6025	1984	2013
6026	1999	2009
6027	2002	2018
6033	2003	2018
6040	1990	2018
6045	2004	2017
6053	1997	2018
6055	2001	2018
6058	1993	2014
6060	2004	2017
6067	1998	2017
6069	2005	2018
6070	2006	2018
6071	2004	2016
6076	2006	2017
6079	2005	2018
6091	2004	2017
6102	1999	2018
6108	2004	2016
6109	2003	2017
6117	2004	2018
6118	1990	2018
6126	2006	2018
6128	1986	2017
6131	1999	2017
6132	1996	2017
6133	1994	2014
6139	2000	2018
6142	1996	2015
6147	2007	2017
6148	1994	2017
6161	2003	2017
6180	1990	2001
6181	1993	2016
6186	1997	2016
6199	1998	2017
6203	1999	2010
6205	2005	2018
6206	1994	2018
6221	1996	2016
6243	2001	2017
6247	1991	2018
6248	2006	2018
6251	2006	2017
6260	2002	2018
6273	2006	2017
6274	1996	2017
6276	1994	2017
6283	1989	2017
6290	2001	2018
6291	2002	2017
6309	1996	2018
6317	2005	2018
6322	2006	2018
6323	2005	2016
6327	1988	2018
6331	2005	2018
6336	2002	2018
6338	2004	2018
6346	2005	2018
6353	2001	2016
6358	2004	2018
6367	1998	2017
6370	1999	2017
6373	1998	2017
6381	2004	2015
6402	2003	2013
6417	1999	2018
6420	2000	2017
6421	2003	2017
6425	2001	2018
6439	1997	2017
6449	2003	2018
6452	2004	2018
6469	1997	2017
6484	2001	2018
6495	1992	2017
6504	2006	2017
6506	1993	2018
6521	1999	2011
6532	2007	2018
6533	2007	2018
6537	1998	2018
6548	2006	2018
6559	2001	2016
6564	2003	2017
6566	2007	2017
6580	2002	2017
6593	2005	2016
6606	1989	2017
6617	2000	2017
6622	1999	2018
6639	2004	2018
6649	1985	2018
6661	2001	2018
6662	1992	2018
6677	2005	2017
6678	2005	2016
6689	2004	2018
6690	2003	2017
6695	2005	2015
6698	2006	2016
6700	1989	2018
6709	2005	2017
6723	2003	2018
6735	1989	2012
6737	2000	2018
6753	1998	2017
6761	1995	2018
6777	2003	2018
6778	2007	2018
6780	2002	2018
6786	2004	2018
6792	2005	2017
6802	2006	2017
6807	2001	2018
6808	1988	2009
6810	2003	2018
6818	2007	2018
6826	2005	2018
6827	1990	2016
6828	2003	2018
6838	2004	2017
6840	2002	2018
6847	2001	2017
6849	2007	2017
6855	1996	2016
6860	1998	2017
6866	2000	2015
6870	2006	2018
6876	2002	2018
6879	2001	2016
6885	2007	2018
6886	1989	2017
6891	2005	2016
6901	2005	2015
6911	2000	2014
6912	2007	2017
6922	2006	2018
6925	1994	2010
6929	1998	2018
6936	2007	2017
6938	2001	2011
6944	1999	2018
6952	1981	2017
6959	1998	2018
6978	1995	2018
6979	1999	2016
6982	2006	2017
6985	2003	2018
7003	2007	2018
7005	1998	2010
7008	2001	2017
7013	1994	2018
7018	2002	2018
7030	2007	2017
7032	1996	2018
7037	1996	2017
7044	2006	2017
7047	2007	2018
7050	2005	2017
7052	2000	2017
7061	2004	2017
7065	2004	2018
7084	2007	2018
7086	1993	2017
7111	2003	2017
7118	2000	2017
7122	2005	2018
7144	1993	2016
7152	1993	2016
7153	2002	2013
7156	2006	2017
7158	1997	2010
7164	2004	2017
7167	2000	2016
7171	2006	2018
7172	2007	2017
7182	2006	2017
7194	1991	2018
7206	2004	2017
7210	1998	2017
7213	2000	2010
7222	2003	2017
7231	2004	2018
7235	2005	2017
7236	2005	2017
7238	2006	2017
7239	1995	2010
7276	2002	2016
7282	1993	2018
7285	2007	2018
7286	2003	2017
7288	2000	2017
7292	2005	2018
7293	2005	2018
7297	2005	2016
7300	1998	2016
7308	2002	2018
7311	2001	2015
7317	2007	2017
7322	2005	2018
7326	1998	2017
7341	1999	2016
7347	2005	2017
7351	2003	2017
7355	1998	2017
7359	2005	2018
7362	2002	2017
7365	2007	2018
7367	2006	2017
7368	2002	2016
7375	2002	2018
7376	2004	2016
7378	2001	2012
7379	2006	2018
7381	2005	2018
7383	2003	2016
7390	2003	2016
7410	2004	2018
7411	2005	2018
7412	1985	2018
7419	2007	2018
7423	2007	2017
7435	2004	2018
7452	2007	2018
7454	2005	2017
7457	2004	2014
7459	2002	2016
7472	2006	2017
7477	2000	2018
7483	2001	2016
7485	2000	2012
7488	2004	2018
7496	2005	2018
7500	2005	2018
7508	1995	2010
7512	2005	2017
7524	1996	2017
7525	2001	2017
7542	1997	2014
7550	1999	2018
7552	1996	2017
7555	2007	2018
7561	2007	2018
7562	2004	2018
7564	2003	2018
7565	2001	2018
7572	1988	2015
7576	2003	2016
7588	1996	2018
7598	2003	2017
7599	2002	2017
7612	2003	2017
7619	2007	2017
7621	1988	2017
7629	2001	2016
