affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
183067930	saixing zeng	2010	144133560	business	2005	2016
183067930	shankai yin	2009	71924100	medicine	2001	2017
183067930	xinyuan zhu	2010	185592680	chemistry	1999	2018
183067930	xu yuhong	2008	185592680	chemistry	1990	2017
183067930	yongfeng zhou	2012	185592680	chemistry	2003	2018
183067930	yumin zhao	2012	121332964	physics	2005	2018
184983240	liu yichun	2007	185592680	chemistry	1989	2018
189210763	hongbin zhang	2009	185592680	chemistry	1997	2017
191208505	bangqin huang	2009	127313418	geology	1995	2018
191208505	chen min	2011	127313418	geology	1998	2018
191208505	dongliang peng	2008	185592680	chemistry	1997	2018
191208505	haiping xia	2009	185592680	chemistry	1995	2018
191208505	hong zhao	2009	41008148	computer science	1996	2017
191208505	jiang yunbao	2004	185592680	chemistry	1991	2017
191208505	jianwei shuai	2011	185592680	chemistry	1995	2018
191208505	lasheng long	2008	185592680	chemistry	1999	2018
191208505	liu xingjun	2004	185592680	chemistry	1999	2018
191208505	lu xin	2004	185592680	chemistry	1995	2018
191208505	ningshao xia	2009	71924100	medicine	2000	2018
191208505	qiao wu	2004	185592680	chemistry	1999	2018
191208505	wang ye	2006	185592680	chemistry	2001	2018
191208505	xiaomei yan	2012	185592680	chemistry	1993	2018
191208505	yunwu zhang	2012	185592680	chemistry	2006	2017
194450716	chen hong	2007	127413603	engineering	1991	2018
194450716	chen qijun	2006	71924100	medicine	1998	2017
194450716	geyu lu	2006	185592680	chemistry	1995	2018
194450716	hongwei song	2009	185592680	chemistry	2004	2018
194450716	hu ping	2001	121332964	physics	1990	2016
194450716	liu mingyuan	2008	185592680	chemistry	1992	2018
194450716	lu zhongyuan	2010	185592680	chemistry	1996	2018
194450716	wensheng yang	2008	185592680	chemistry	1989	2018
196699116	hua lin	2007	127413603	engineering	2000	2018
196699116	jiaguo yu	2006	185592680	chemistry	2000	2018
19820366	ai yinshuang	2011	127313418	geology	1998	2018
19820366	aihui zhou	2004	33923547	mathematics	1994	2017
19820366	andong xia	2008	185592680	chemistry	2002	2018
19820366	bai fengyan	2008	86803240	biology	1996	2018
19820366	bai haiyang	2002	121332964	physics	1995	2015
19820366	bai xuedong	2007	185592680	chemistry	2000	2017
19820366	bai yongfei	2008	86803240	biology	2002	2018
19820366	bai zhongzhi	2005	33923547	mathematics	1995	2017
19820366	baifei shen	2011	121332964	physics	1994	2018
19820366	baiqing xu	2011	127313418	geology	1999	2018
19820366	bao lan	2003	71924100	medicine	1995	2017
19820366	baochun huang	2005	127313418	geology	1993	2014
19820366	baolong shen	2008	121332964	physics	1991	2015
19820366	baonian wan	2007	121332964	physics	1997	2017
19820366	beiying wu	1995	127313418	geology	1988	1999
19820366	benzhan zhu	2009	185592680	chemistry	2000	2017
19820366	bingsong zou	2002	121332964	physics	1997	2016
19820366	bixian mai	2005	185592680	chemistry	1999	2018
19820366	boqiang qin	2008	127313418	geology	1991	2018
19820366	cai chunfang	2011	127313418	geology	2001	2018
19820366	cai ronggen	2003	121332964	physics	1998	2018
19820366	cai shuqun	2010	127313418	geology	2001	2017
19820366	cai xinxia	2011	185592680	chemistry	1997	2018
19820366	cai zucong	2001	86803240	biology	1996	2014
