	H	L	M	S1	S2	S3	aveCitationCnt	aveH-Index	aveJIF	avePaperCnt	award
2105946567	0	1	0	0	0	0	27.93333333333333	4.6	0.9357776723526922	2.2	0
2101729186	0	1	0	0	0	0	2.4	0.2	0.3275594760759155	0.2	0
2736152990	0	1	0	0	0	0	4.533333333333333	2.0	0.4726030386861658	1.2	0
2207345732	0	1	0	0	0	0	1.6	4.0	0.2607594936708861	1.2	0
2136933829	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2506769544	0	1	0	0	0	0	2.166666666666667	2.0	0.4835108455511698	1.0	0
2138250145	1	0	0	0	0	0	7.213636363636364	37.0	2.7307673640660752	5.0	0
2483316828	0	1	0	0	0	0	116.46666666666668	3.6	3.6620911271391	1.8	0
2096883221	0	1	0	0	0	0	30.75	7.6	1.5911288279007425	2.4	0
2614311846	0	1	0	0	0	0	8.483333333333334	6.8	1.9691337480661064	2.6	0
2489575497	0	1	0	0	0	0	0.8	2.0	0.2410358565737052	0.2	0
2603841987	0	1	0	0	0	0	0.0	1.0	0.0	0.0	0
2289626938	0	1	0	0	0	0	5.6	7.0	0.659450538515536	3.0	0
2113871370	0	1	0	0	0	0	1.8	8.4	0.8038498304710024	0.4	0
2251034904	0	1	0	0	0	0	40.97904761904762	23.8	0.8705061767026793	9.2	0
2161348131	0	1	0	0	0	0	5.0	2.2	0.8801090304014462	1.6	0
2137165949	0	1	0	0	0	0	7.133333333333333	11.0	0.2441910986326415	0.6	0
2086581877	0	1	0	0	0	0	4.6	9.8	0.22285714285714286	0.4	0
2113950879	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2104117573	0	1	0	0	0	0	3.0	1.6	0.0502283105022831	1.6	0
2293648838	0	0	1	0	0	0	7.2349999999999985	17.0	1.1876512299446338	7.2	0
2104810978	0	1	0	0	0	0	19.2	3.2	0.8349297555653484	2.0	0
2165112351	1	0	0	0	0	0	10.991666666666667	30.6	2.1447854627784557	6.8	0
2118137145	0	1	0	0	0	0	0.0	2.0	0.0	0.0	0
2106156992	0	1	0	0	0	0	4.2	7.8	2.188554189898401	0.4	0
2425617645	0	1	0	0	0	0	0.0	16.0	0.0	0.0	0
2245092705	0	1	0	0	0	0	31.388181818181817	30.2	3.5416257496690315	6.0	0
2618792320	0	1	0	0	0	0	47.2	1.6	1.5949071231348153	0.8	0
2303091550	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2167316255	0	1	0	0	0	0	19.866666666666667	13.6	3.0419177810748965	2.2	0
2519154089	0	1	0	0	0	0	11.293333333333333	8.6	0.9994721359113752	6.0	0
2016189893	0	1	0	0	0	0	0.8	0.4	0.0	0.2	0
2157655962	0	1	0	0	0	0	29.333333333333336	13.0	1.6823126620515805	2.8	0
2517218746	0	1	0	0	0	0	12.0	0.8	2.5969191268948952	0.6	0
2585796070	0	1	0	0	0	0	3.2333333333333334	6.4	2.798581013377281	5.8	0
