	aveCitationCnt	aveJIF	aveH-Index	avePaperCnt	L	M	H	award
(19820366, 'qingyuan sun')	30.63682051282	2.0507860004778333	30.6	19.2	1	0	0	1
(154099455, 'huaijin zhang')	7.028245088238	2.1274381511816003	34.6	37.0	0	0	1	1
(19820366, 'he hong')	39.7623534888	1.842541851278992	30.2	23.6	1	0	0	1
(19820366, 'hu wei')	3.3380952380945996	1.998375418912125	29.0	10.8	0	0	1	1
(76130692, 'junhu zhou')	16.96906627856	1.6192986851812154	14.4	17.0	1	0	0	1
(19820366, 'jianmin yue')	17.48092105264	0.8851582364289072	12.8	9.4	1	0	0	1
(76130692, 'su zeng')	20.2082815735	1.5424734209262283	12.4	12.8	1	0	0	1
(19820366, 'qiuliang wang')	4.286213894160001	1.0825237571757984	14.2	22.4	0	1	0	1
(47720641, 'ding ma')	4.153737373734799	0.40349561036744735	5.0	10.4	1	0	0	1
(19820366, 'li sheng')	30.987514900516	3.482562245164924	28.8	19.0	0	1	0	1
(126520041, 'shiqiang wei')	20.43236646383	3.1530041857791025	22.0	20.2	1	0	0	1
(19820366, 'baifei shen')	3.1727375565599996	1.7086155306780266	13.0	11.8	0	1	0	1
(19820366, 'hongmei wang')	11.4936868686864	4.1863834586670245	22.2	10.0	0	1	0	1
(19820366, 'xiong zhiqi')	28.611428571426	7.073661438525991	21.2	4.6	1	0	0	1
(19820366, 'chong kang')	57.227817672540006	3.973108388211034	28.4	10.8	1	0	0	1
(119454577, 'futian qu')	38.0	1.1096159128228096	4.2	1.8	1	0	0	1
(47720641, 'jianfeng zhou')	9.856140350893998	3.8220948761703526	26.8	19.0	0	0	1	1
(204983213, 'han jiecai')	13.072083172906	1.5063016331247	29.6	32.4	0	1	0	1
(20231570, 'dai lun')	14.244444444460001	5.019190661215675	26.8	6.8	0	1	0	1
(19820366, 'feng songlin')	16.751484593834	1.063447479970972	10.2	13.2	1	0	0	1
(19820366, 'xiao zhang')	16.708860028862002	2.343779275137983	14.6	7.2	1	0	0	1
(90610280, 'chen junwu')	13.108333333320001	5.074356551725268	23.8	9.6	0	1	0	1
(126520041, 'tian zhigang')	49.0712087912	2.7062374858145954	15.6	10.2	1	0	0	1
(19820366, 'li yuesheng')	22.527704678360003	2.1984020388631182	26.6	15.2	1	0	0	1
(83519826, 'gang hu')	29.706613517199997	2.7757167920502748	26.8	12.6	1	0	0	1
(19820366, 'haifeng zhang')	11.606232492994002	1.6504603750302191	16.8	13.4	1	0	0	1
(19820366, 'wang xianhong')	18.47170163168	1.5965483463408705	17.2	8.4	1	0	0	1
(19820366, 'dongxiao wang')	19.628699813239997	1.5995013208380535	21.2	13.0	0	1	0	1
(19820366, 'yang ye')	15.810875820504	1.9737655440639776	26.6	24.2	0	0	1	1
(19820366, 'chen yanjing')	62.08	0.948984284331596	5.4	2.0	1	0	0	1
(157773358, 'xiaopei yan')	1.273333333334	0.0347985347985348	2.0	4.0	1	0	0	1
(157773358, 'hongbin wang')	6.161904761905402	0.0	13.0	3.0	0	1	0	1
(154099455, 'chunhong ma')	2.6083333333334	0.0	26.0	4.6	0	1	0	1
(19820366, 'jiawei zhou')	15.83333333334	3.185089977755507	16.0	2.6	1	0	0	1
(19820366, 'yao zhujun')	7.713333333326	1.1955700468887855	10.6	4.0	1	0	0	1
(20231570, 'baoguo jiang')	4.953968253966	0.9057336547299116	9.4	6.2	1	0	0	1
(20231570, 'liu yuxin')	3.3206349206360004	1.2075211946508286	8.2	13.0	1	0	0	1
(126520041, 'haiyan liu')	24.95	1.4336192790508646	12.2	3.8	1	0	0	1
(19820366, 'cao xueqiang')	17.71411027568	1.869987302869372	29.8	16.0	0	1	0	1
(47720641, 'huaichun zhou')	7.8266666666666	1.609570784407668	17.0	5.6	0	0	1	1
(19820366, 'geng yanhou')	36.04444444446	2.8372360551496545	28.4	16.4	1	0	0	1
(19820366, 'cao xinwu')	12.94428571428	3.237478054930872	13.2	4.8	1	0	0	1
(19820366, 'xiaoping yang')	27.683333333333998	1.8795435720681268	17.2	5.0	1	0	0	1
(19820366, 'qu xiaogang')	19.14714285714	1.5460617177820164	8.4	3.2	1	0	0	1
(19820366, 'han yanchun')	72.7979081134	1.5378066315397934	21.6	19.8	1	0	0	1
(19820366, 'hong zhong')	3.0482539682532	0.0	24.0	4.6	0	1	0	1
