913	1	0	0	1	1	0	0	3	3	2	3
920	3	4	6	1	1	1	5	3	5	5	6
930	2	1	2	2	1	1	1	3	10	9	8
932	1	3	6	3	5	2	0	1	0	0	0
946	4	5	4	9	9	0	1	2	2	0	0
963	1	2	10	6	4	2	6	3	1	3	3
966	1	0	1	0	0	1	1	1	0	1	0
970	1	1	2	1	2	4	1	5	0	0	2
974	0	4	0	6	18	30	32	28	20	24	30
981	0	0	2	2	2	1	2	5	8	6	8
990	2	1	1	3	0	1	1	2	1	1	1
1005	0	1	4	3	5	5	1	4	0	4	1
1011	1	0	0	0	0	0	0	1	0	0	2
1025	2	1	2	3	0	0	0	0	0	1	1
1027	3	1	2	5	0	4	8	11	10	11	7
1029	1	5	3	3	3	4	2	8	5	2	2
1036	0	0	2	2	4	3	0	5	3	2	2
1037	3	1	2	1	1	0	1	0	3	5	2
1038	1	3	2	1	1	1	2	0	1	1	0
1047	0	3	2	1	0	2	1	1	0	1	0
1064	1	0	0	0	0	0	0	0	1	0	4
1067	0	0	4	1	1	0	0	2	2	6	3
1070	1	1	2	2	3	2	3	7	7	4	5
1089	2	7	4	1	1	3	4	3	7	3	2
1090	0	0	0	0	0	0	0	0	1	0	0
1101	0	0	0	0	1	2	2	2	2	5	3
1116	1	0	1	1	3	4	2	0	4	3	0
1127	1	5	7	4	2	0	0	0	0	0	0
1134	2	8	2	8	11	4	5	9	9	9	10
1138	2	6	2	3	4	1	6	6	10	10	9
1142	10	18	7	18	41	33	29	53	13	12	35
1146	5	5	6	9	10	0	4	2	0	4	0
1167	1	0	0	1	4	0	0	0	0	0	0
1170	6	13	3	12	18	9	9	13	20	40	39
1184	2	7	5	7	7	0	1	1	2	1	0
1188	0	0	4	2	1	2	1	0	1	1	9
1192	2	0	0	2	0	0	1	0	0	0	0
1199	6	6	4	4	0	4	2	6	6	8	8
1200	0	15	3	13	1	8	2	4	6	10	4
1213	3	1	1	0	2	1	1	5	2	9	6
1215	0	0	1	0	2	2	1	3	4	8	4
1225	0	0	0	0	0	2	1	0	0	0	0
1226	42	44	27	39	29	16	13	15	15	6	2
1232	0	0	0	0	0	0	0	2	2	3	8
1238	0	0	2	0	1	0	0	0	0	0	1
1242	1	0	0	0	0	0	5	8	5	3	4
1248	2	3	3	0	1	0	0	0	1	1	2
1253	0	0	0	0	0	2	4	5	4	5	1
1268	2	1	3	4	13	8	8	10	7	11	5
1273	6	1	2	1	1	1	5	7	6	2	5
1297	0	0	0	0	0	1	6	3	9	1	0
1301	7	9	13	13	16	12	13	12	11	22	22
1317	1	0	1	0	0	1	1	0	0	2	0
1319	0	0	0	0	0	1	0	0	1	1	2
1322	2	1	0	0	0	1	5	5	2	1	0
1327	0	0	0	1	0	0	1	0	2	0	0
1328	10	4	6	3	4	1	0	0	0	0	2
1331	3	4	2	2	3	2	1	0	2	1	0
1337	1	0	0	0	0	0	0	0	2	3	3
1339	64	32	24	9	5	4	2	0	0	0	0
1340	0	6	3	2	6	10	5	9	1	1	0
1346	6	3	3	4	2	6	4	10	7	6	7
1350	1	1	6	2	4	2	4	0	3	2	4
1351	1	1	0	0	1	0	1	2	1	2	5
1357	3	4	1	5	6	5	11	8	7	3	9
1358	2	3	2	1	0	3	1	2	0	2	3
